epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,242.727,1.78708,1.31814,0.82317,0.90893,0.62162,0.77678,0.29027,2.17888,1.13266,0.84382,0.00191684,0.00191684,0.00191684
44,248.86,1.81846,1.19238,0.80207,0.95525,0.83784,0.9384,0.40603,1.84389,0.76994,0.82464,0.00191486,0.00191486,0.00191486
45,254.546,1.72628,1.1907,0.84817,1,0.82011,0.94875,0.44307,1.80385,0.84716,0.82992,0.00191288,0.00191288,0.00191288
46,260.368,1.69438,1.13314,0.82293,0.94011,0.75676,0.90512,0.37431,2.07771,0.84693,0.844,0.0019109,0.0019109,0.0019109
47,265.657,1.62164,1.3352,0.81381,0.96338,0.71112,0.86259,0.38228,1.9504,1.00466,0.82845,0.00190892,0.00190892,0.00190892
48,271.424,1.76123,1.15823,0.82551,0.91585,0.7027,0.85976,0.3558,2.0698,0.93451,0.83903,0.00190694,0.00190694,0.00190694
49,276.536,1.7513,1.13986,0.81681,0.765,0.79197,0.84916,0.41103,1.86297,0.798,0.82745,0.00190496,0.00190496,0.00190496
50,281.89,1.61993,1.06828,0.82253,0.9654,0.75425,0.87325,0.4136,1.87813,0.80363,0.82689,0.00190298,0.00190298,0.00190298
51,287.578,1.84857,1.09128,0.83267,0.87866,0.7829,0.88966,0.46775,1.7341,0.82659,0.81943,0.001901,0.001901,0.001901
52,293.434,1.7438,1.182,0.82134,0.79019,0.83784,0.89863,0.43019,1.7364,0.8023,0.81803,0.00189902,0.00189902,0.00189902
53,298.681,1.75668,1.1648,0.8367,0.79264,0.82666,0.87809,0.4276,1.78883,0.83867,0.81476,0.00189704,0.00189704,0.00189704
54,303.954,1.65503,1.07132,0.81405,0.80113,0.75676,0.82692,0.39292,1.88637,0.82055,0.8249,0.00189506,0.00189506,0.00189506
55,309.717,1.77058,1.06725,0.8155,0.99312,0.81081,0.92768,0.45442,1.71192,0.72244,0.82414,0.00189308,0.00189308,0.00189308
56,315.17,1.5328,1.00662,0.82502,0.95402,0.75676,0.84614,0.41189,1.78708,0.75959,0.83359,0.0018911,0.0018911,0.0018911
57,321.191,1.60782,1.04985,0.79805,0.98762,0.81081,0.90431,0.45802,1.75024,0.76533,0.827,0.00188912,0.00188912,0.00188912
58,326.856,1.65946,0.91595,0.80192,1,0.80648,0.92236,0.46543,1.67927,0.72,0.82495,0.00188714,0.00188714,0.00188714
59,332.31,1.72009,0.95677,0.77961,0.96407,0.72526,0.8651,0.47445,1.72611,0.85918,0.82868,0.00188516,0.00188516,0.00188516
60,337.785,1.75828,0.92826,0.84119,1,0.81636,0.9436,0.46623,1.82393,0.82393,0.83281,0.00188318,0.00188318,0.00188318
61,343.224,1.55773,0.89145,0.83055,0.97461,0.75676,0.91727,0.47468,1.76926,0.81445,0.82853,0.0018812,0.0018812,0.0018812
62,349.389,1.66944,1.00736,0.79184,0.96772,0.81025,0.91564,0.5122,1.77011,0.74987,0.83497,0.00187922,0.00187922,0.00187922
63,354.524,1.6909,0.83296,0.85576,1,0.7802,0.91715,0.49266,1.82012,0.74394,0.83419,0.00187724,0.00187724,0.00187724
64,360.191,1.66981,0.80608,0.80145,0.9369,0.80283,0.91628,0.51034,1.71168,0.71921,0.82556,0.00187526,0.00187526,0.00187526
65,365.351,1.69528,0.90436,0.81901,0.94927,0.75676,0.86361,0.46084,1.71189,0.75304,0.82236,0.00187328,0.00187328,0.00187328
66,370.511,1.88132,0.97919,0.8217,0.95965,0.72973,0.88408,0.4462,1.90054,0.75398,0.82675,0.0018713,0.0018713,0.0018713
67,375.302,1.70581,0.88557,0.82733,0.87806,0.81081,0.92441,0.48565,1.69744,0.7071,0.81881,0.00186932,0.00186932,0.00186932
68,380.612,1.64964,0.81474,0.83225,0.91342,0.75676,0.90656,0.48123,1.80627,0.81702,0.82416,0.00186734,0.00186734,0.00186734
69,385.378,1.72976,0.92896,0.809,0.81936,0.83784,0.87786,0.40188,2.05685,0.82018,0.83491,0.00186536,0.00186536,0.00186536
70,390.652,1.64935,0.83923,0.82358,0.89266,0.89915,0.94836,0.4897,1.70057,0.7293,0.81775,0.00186338,0.00186338,0.00186338
71,395.548,1.48787,0.78057,0.80858,0.97056,0.89105,0.96039,0.52268,1.70102,0.64136,0.81994,0.0018614,0.0018614,0.0018614
72,400.906,1.4375,0.82629,0.78656,1,0.88847,0.98636,0.45761,1.91129,0.71386,0.83257,0.00185942,0.00185942,0.00185942
73,405.623,1.72364,0.91351,0.82002,0.84932,0.94595,0.96773,0.49634,1.79008,0.70633,0.82741,0.00185744,0.00185744,0.00185744
74,410.623,1.86181,0.81786,0.84204,0.93768,0.81334,0.95217,0.49998,1.85972,0.72051,0.82228,0.00185546,0.00185546,0.00185546
75,415.438,1.60988,0.77588,0.81089,1,0.90871,0.97964,0.48253,1.98963,0.70802,0.83313,0.00185348,0.00185348,0.00185348
76,421.501,1.61349,0.78368,0.81271,0.97656,0.75676,0.94189,0.53117,1.74522,0.83967,0.83174,0.0018515,0.0018515,0.0018515
77,426.753,1.61548,0.77757,0.81557,0.94356,0.81081,0.95706,0.54151,1.74939,0.73764,0.82826,0.00184952,0.00184952,0.00184952
78,432.649,1.5654,0.72548,0.82937,0.86879,0.89482,0.97152,0.54766,1.62385,0.66699,0.82011,0.00184754,0.00184754,0.00184754
