epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6946,1.99074,4.28495,1.6846,0.00358,0.24878,0.02065,0.01431,1.60479,3.83544,1.37986,0.00012861,0.00012861,0.00012861
2,33.5229,1.51319,3.41962,1.2189,0.00846,0.46829,0.23117,0.14647,1.33318,3.48176,1.12833,0.000271241,0.000271241,0.000271241
3,47.2247,1.33348,2.34253,1.06104,0.00651,0.38049,0.23867,0.14056,1.59839,3.67623,1.35554,0.000413589,0.000413589,0.000413589
4,61.4768,1.27769,1.71424,1.08047,0.00944,0.47805,0.21528,0.1312,1.46773,3.66867,1.24845,0.000555655,0.000555655,0.000555655
5,76.4617,1.16073,1.45082,1.04027,0.00931,0.53659,0.31214,0.21673,1.21032,3.41342,1.05641,0.000697437,0.000697437,0.000697437
6,90.1826,1.12488,1.29286,1.01254,0.01143,0.5626,0.39569,0.28741,1.14511,3.28665,0.9829,0.000838937,0.000838937,0.000838937
7,103.032,1.1548,1.25828,1.03173,0.99341,0.22764,0.39826,0.28872,1.23063,3.248,0.98128,0.000980153,0.000980153,0.000980153
8,117.386,1.06992,1.12921,0.99184,1,0.04015,0.4691,0.34222,1.21505,3.09617,1.0374,0.00112109,0.00112109,0.00112109
9,131.309,1.0903,1.08739,1.0043,0.00884,0.57073,0.45172,0.32934,1.16901,3.06153,1.02461,0.00126174,0.00126174,0.00126174
10,144.748,1.05299,1.04071,0.9908,0.98924,0.34798,0.72389,0.44898,1.23487,2.1826,0.99638,0.0014021,0.0014021,0.0014021
11,157.293,1.03948,0.99922,0.99403,0.9817,0.39476,0.72815,0.45382,1.1277,2.10066,0.98106,0.00141485,0.00141485,0.00141485
12,171.981,1.03255,0.98828,0.98639,0.89744,0.53312,0.76571,0.4659,1.31634,1.61449,1.06534,0.00141344,0.00141344,0.00141344
13,186.411,0.98514,0.94014,0.96601,0.66717,0.6577,0.75658,0.47347,1.15115,1.33462,1.02517,0.00141202,0.00141202,0.00141202
14,200.09,0.97564,0.89095,0.95552,0.73332,0.61683,0.7505,0.48693,1.15996,1.26066,1.00158,0.00141061,0.00141061,0.00141061
