epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,584.385,0.52097,0.34953,0.84449,0.9271,0.79736,0.82592,0.63145,0.44075,0.28553,0.83609,0.001371,0.001371,0.001371
43,597.942,0.49693,0.33582,0.84113,0.96149,0.78773,0.82293,0.64982,0.41999,0.27523,0.83256,0.00136958,0.00136958,0.00136958
44,611.021,0.48853,0.3337,0.83999,0.92704,0.81368,0.83756,0.65965,0.42956,0.28669,0.83139,0.00136817,0.00136817,0.00136817
45,624.375,0.49976,0.339,0.84,0.91257,0.81396,0.83261,0.65915,0.40545,0.2724,0.83139,0.00136675,0.00136675,0.00136675
46,637.886,0.4814,0.3289,0.83943,0.86179,0.83237,0.82448,0.65361,0.40808,0.26301,0.83013,0.00136534,0.00136534,0.00136534
47,651.438,0.48496,0.33181,0.84074,0.8659,0.8332,0.82686,0.6719,0.4238,0.28073,0.83059,0.00136392,0.00136392,0.00136392
48,665.613,0.47237,0.3294,0.8357,0.88737,0.81552,0.83176,0.65106,0.42361,0.27488,0.83268,0.00136251,0.00136251,0.00136251
49,679.298,0.48134,0.33024,0.84063,0.88678,0.82068,0.83805,0.66921,0.40768,0.27007,0.83121,0.00136109,0.00136109,0.00136109
50,692.662,0.48723,0.32927,0.83952,0.85887,0.80665,0.80546,0.66028,0.42961,0.27671,0.83627,0.00135968,0.00135968,0.00135968
51,706.775,0.48754,0.32854,0.84218,0.89745,0.81018,0.8423,0.65315,0.40311,0.27355,0.83084,0.00135826,0.00135826,0.00135826
52,720.181,0.49081,0.32641,0.84101,0.91751,0.8183,0.82766,0.63379,0.43621,0.27452,0.83521,0.00135685,0.00135685,0.00135685
53,733.646,0.48717,0.3309,0.83901,0.92332,0.7971,0.82293,0.65681,0.41807,0.26486,0.83805,0.00135544,0.00135544,0.00135544
54,746.897,0.47369,0.32097,0.83801,0.963,0.80281,0.82538,0.64908,0.40782,0.26697,0.8308,0.00135402,0.00135402,0.00135402
55,760.76,0.47561,0.32709,0.83891,0.92198,0.82407,0.84239,0.66425,0.41387,0.26499,0.83303,0.00135261,0.00135261,0.00135261
56,775.357,0.47267,0.32094,0.83568,0.90032,0.82059,0.84189,0.6836,0.42107,0.26075,0.83096,0.00135119,0.00135119,0.00135119
57,789.154,0.48203,0.324,0.84186,0.92461,0.811,0.84726,0.67427,0.4065,0.25689,0.82954,0.00134978,0.00134978,0.00134978
58,802.413,0.47376,0.31892,0.83685,0.90076,0.84224,0.85698,0.66566,0.41829,0.27202,0.83293,0.00134836,0.00134836,0.00134836
59,816.018,0.48547,0.32235,0.83914,0.93077,0.82821,0.85218,0.66753,0.42948,0.25915,0.83806,0.00134695,0.00134695,0.00134695
60,830.306,0.47,0.31462,0.83638,0.86569,0.84117,0.83801,0.67665,0.41735,0.25759,0.8347,0.00134553,0.00134553,0.00134553
61,843.834,0.47067,0.31198,0.83782,0.89059,0.83443,0.84449,0.65459,0.42939,0.26192,0.83287,0.00134412,0.00134412,0.00134412
62,857.717,0.47008,0.30622,0.83963,0.94164,0.81866,0.84792,0.68431,0.38668,0.25496,0.82869,0.0013427,0.0013427,0.0013427
63,871.575,0.44391,0.30001,0.83078,0.9556,0.8177,0.84739,0.68379,0.38959,0.24863,0.8282,0.00134129,0.00134129,0.00134129
64,885.703,0.45926,0.30802,0.83762,0.94651,0.7917,0.83188,0.67903,0.40362,0.26064,0.8317,0.00133987,0.00133987,0.00133987
65,899.906,0.45244,0.30084,0.83463,0.91446,0.83513,0.85743,0.68152,0.39486,0.25487,0.83146,0.00133846,0.00133846,0.00133846
66,913.616,0.45403,0.30443,0.83376,0.90376,0.83953,0.85231,0.68129,0.39822,0.25161,0.8283,0.00133704,0.00133704,0.00133704
67,928.986,0.45245,0.2982,0.83394,0.97917,0.7917,0.84819,0.67623,0.39487,0.25348,0.83098,0.00133563,0.00133563,0.00133563
68,942.204,0.4528,0.302,0.83389,0.92462,0.81127,0.85476,0.6859,0.40714,0.25317,0.83042,0.00133421,0.00133421,0.00133421
69,956.842,0.45983,0.30357,0.83447,0.91701,0.82192,0.85823,0.67678,0.3878,0.24776,0.83069,0.0013328,0.0013328,0.0013328
70,970.69,0.46233,0.30604,0.83503,0.90596,0.83486,0.85145,0.67467,0.3827,0.24425,0.8264,0.00133139,0.00133139,0.00133139
71,984.603,0.46094,0.31262,0.83396,0.95717,0.80437,0.84709,0.6818,0.3955,0.25496,0.82845,0.00132997,0.00132997,0.00132997
72,998.17,0.46222,0.30569,0.83987,0.95543,0.80357,0.84512,0.66706,0.39513,0.2483,0.82898,0.00132856,0.00132856,0.00132856
73,1012.86,0.45775,0.31244,0.83541,0.95502,0.83282,0.85936,0.68257,0.40786,0.25238,0.83543,0.00132714,0.00132714,0.00132714
74,1026.74,0.45593,0.30113,0.83434,0.88053,0.83293,0.84468,0.67131,0.3909,0.24867,0.82989,0.00132573,0.00132573,0.00132573
75,1040.64,0.47074,0.30879,0.83544,0.92578,0.83893,0.84435,0.67319,0.40796,0.24833,0.83061,0.00132431,0.00132431,0.00132431
76,1054.32,0.46212,0.31355,0.83453,0.90908,0.82934,0.84362,0.67807,0.37904,0.24552,0.82663,0.0013229,0.0013229,0.0013229
77,1069.49,0.43906,0.29152,0.82852,0.89758,0.83754,0.86561,0.68617,0.38518,0.24519,0.83002,0.00132148,0.00132148,0.00132148
78,1083.54,0.44438,0.29283,0.83397,0.90919,0.84214,0.85711,0.68787,0.38731,0.24551,0.83023,0.00132007,0.00132007,0.00132007
79,1097.46,0.43469,0.28962,0.8305,0.93238,0.84896,0.86827,0.68792,0.37821,0.24262,0.82813,0.00131865,0.00131865,0.00131865
80,1111.33,0.45661,0.29469,0.83218,0.92952,0.8365,0.8579,0.67815,0.38167,0.24015,0.8281,0.00131724,0.00131724,0.00131724
81,1125.3,0.43666,0.28864,0.83142,0.92557,0.84686,0.86553,0.69631,0.35892,0.23313,0.82532,0.00131582,0.00131582,0.00131582
82,1139.34,0.43995,0.28803,0.83439,0.88154,0.83752,0.85532,0.69191,0.37963,0.23818,0.83273,0.00131441,0.00131441,0.00131441
83,1153.22,0.44892,0.29152,0.83018,0.92755,0.84879,0.87084,0.69526,0.36169,0.23409,0.82555,0.00131299,0.00131299,0.00131299
84,1167.4,0.43711,0.28731,0.82927,0.96162,0.82282,0.87296,0.69694,0.36444,0.23525,0.82869,0.00131158,0.00131158,0.00131158
85,1181.09,0.43276,0.28292,0.8286,0.92924,0.81745,0.8539,0.67979,0.3729,0.23809,0.82737,0.00131016,0.00131016,0.00131016
86,1196.14,0.44564,0.29202,0.83257,0.97925,0.83356,0.86375,0.69333,0.37654,0.24236,0.82851,0.00130875,0.00130875,0.00130875
87,1209.71,0.43891,0.29376,0.83181,0.89053,0.86256,0.86791,0.70056,0.36338,0.23593,0.82483,0.00130733,0.00130733,0.00130733
88,1223.68,0.43635,0.28668,0.8337,0.92803,0.82129,0.84833,0.70219,0.39479,0.23981,0.83003,0.00130592,0.00130592,0.00130592
89,1237.63,0.4443,0.28394,0.83174,0.95294,0.81895,0.84814,0.70905,0.37036,0.24127,0.82766,0.00130451,0.00130451,0.00130451
90,1252.23,0.43029,0.29181,0.83111,0.90724,0.82042,0.86194,0.69681,0.36408,0.2321,0.82517,0.00130309,0.00130309,0.00130309
91,1266.4,0.43507,0.28685,0.83004,0.94234,0.84864,0.87034,0.69495,0.36649,0.23665,0.8267,0.00130168,0.00130168,0.00130168
92,1280.17,0.43229,0.28554,0.82838,0.93192,0.84914,0.86091,0.70408,0.36674,0.22627,0.82686,0.00130026,0.00130026,0.00130026
93,1293.76,0.43078,0.28884,0.82844,0.95766,0.85226,0.87805,0.71194,0.36612,0.23217,0.82734,0.00129885,0.00129885,0.00129885
94,1308.41,0.42704,0.28265,0.8267,0.95044,0.83355,0.87409,0.70196,0.36143,0.23769,0.82417,0.00129743,0.00129743,0.00129743
95,1322.48,0.42501,0.27886,0.82899,0.94702,0.85606,0.87247,0.70541,0.35945,0.22541,0.82512,0.00129602,0.00129602,0.00129602
96,1336.29,0.4231,0.28032,0.8295,0.92875,0.85483,0.87437,0.69384,0.38184,0.23887,0.82953,0.0012946,0.0012946,0.0012946
97,1350.6,0.41856,0.2755,0.82749,0.90414,0.8532,0.86607,0.6871,0.37116,0.22761,0.82978,0.00129319,0.00129319,0.00129319
98,1365.31,0.42557,0.28412,0.82895,0.90948,0.84065,0.86653,0.70488,0.36675,0.23076,0.83008,0.00129177,0.00129177,0.00129177
99,1380.48,0.43867,0.28183,0.83396,0.9007,0.8346,0.85111,0.68729,0.39378,0.24306,0.83244,0.00129036,0.00129036,0.00129036
100,1394.08,0.44034,0.2829,0.83031,0.94606,0.829,0.86807,0.69996,0.37756,0.23553,0.82928,0.00128894,0.00128894,0.00128894
101,1408.01,0.43549,0.27954,0.82924,0.9178,0.83993,0.86917,0.69692,0.36185,0.22769,0.82573,0.00128753,0.00128753,0.00128753
102,1421.91,0.41747,0.27715,0.82912,0.89525,0.86367,0.87675,0.71353,0.37864,0.23092,0.82882,0.00128611,0.00128611,0.00128611
103,1436.96,0.42141,0.27431,0.82722,0.92399,0.85553,0.87387,0.6969,0.37495,0.23224,0.82696,0.0012847,0.0012847,0.0012847
104,1450.87,0.42846,0.27807,0.82814,0.88325,0.83436,0.84934,0.68281,0.35977,0.22954,0.82609,0.00128328,0.00128328,0.00128328
105,1465.03,0.42588,0.27511,0.8261,0.93993,0.8412,0.87149,0.70118,0.38234,0.23602,0.82984,0.00128187,0.00128187,0.00128187
106,1479.16,0.42458,0.27686,0.82732,0.91388,0.87111,0.87099,0.71275,0.38296,0.23389,0.82895,0.00128046,0.00128046,0.00128046
107,1494.16,0.4234,0.28028,0.82558,0.89152,0.85766,0.87309,0.71702,0.35717,0.22584,0.82623,0.00127904,0.00127904,0.00127904
108,1508.53,0.42263,0.27671,0.82786,0.93479,0.86351,0.87198,0.71482,0.35704,0.23367,0.8249,0.00127763,0.00127763,0.00127763
