epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,413.712,0.76026,0.41601,0.91798,0.94908,0.99689,0.98593,0.80482,0.78217,0.36679,0.94349,0.001371,0.001371,0.001371
43,423.199,0.77708,0.39799,0.91628,0.95089,0.99689,0.98613,0.80217,0.78377,0.3687,0.94332,0.00136958,0.00136958,0.00136958
44,433.145,0.74943,0.39864,0.91064,0.94694,0.99769,0.98403,0.80374,0.76484,0.36268,0.93776,0.00136817,0.00136817,0.00136817
45,445.367,0.77966,0.40873,0.91197,0.95621,0.99379,0.98654,0.8044,0.76215,0.36061,0.93446,0.00136675,0.00136675,0.00136675
46,454.626,0.76398,0.39277,0.90916,0.95956,0.99689,0.98805,0.80307,0.76786,0.36583,0.93564,0.00136534,0.00136534,0.00136534
47,464.05,0.77768,0.41124,0.92725,0.96115,0.99874,0.98811,0.79987,0.77237,0.36318,0.94181,0.00136392,0.00136392,0.00136392
48,473.23,0.79262,0.4078,0.92026,0.95984,0.99689,0.9888,0.8089,0.76511,0.3562,0.93927,0.00136251,0.00136251,0.00136251
49,482.104,0.77883,0.40551,0.91081,0.95715,0.99689,0.9891,0.81487,0.75688,0.3526,0.93624,0.00136109,0.00136109,0.00136109
50,492.926,0.76621,0.41473,0.90386,0.97491,0.99068,0.98993,0.82743,0.73941,0.32983,0.92411,0.00135968,0.00135968,0.00135968
51,503.282,0.74428,0.40007,0.90703,0.97574,1,0.98988,0.83217,0.72539,0.32734,0.9201,0.00135826,0.00135826,0.00135826
52,511.65,0.7748,0.40086,0.9217,0.9639,0.99512,0.98865,0.81519,0.74747,0.34917,0.93293,0.00135685,0.00135685,0.00135685
53,521.309,0.76942,0.40191,0.91754,0.9814,0.983,0.9911,0.8242,0.73425,0.34061,0.93018,0.00135544,0.00135544,0.00135544
54,529.771,0.72675,0.38839,0.9023,0.97232,0.99379,0.99325,0.82626,0.75161,0.33867,0.93293,0.00135402,0.00135402,0.00135402
55,538.639,0.74933,0.3932,0.89894,0.97173,0.99379,0.99352,0.82472,0.75785,0.32957,0.93457,0.00135261,0.00135261,0.00135261
56,551.311,0.75389,0.38791,0.91903,0.97189,0.99379,0.99278,0.82476,0.75915,0.33782,0.94055,0.00135119,0.00135119,0.00135119
57,560.576,0.76413,0.40056,0.9088,0.97553,0.99031,0.99233,0.81674,0.77137,0.34706,0.9446,0.00134978,0.00134978,0.00134978
58,569.902,0.7605,0.39262,0.90643,0.98071,0.99068,0.99249,0.82564,0.73112,0.33725,0.93052,0.00134836,0.00134836,0.00134836
59,582.17,0.74604,0.39161,0.90675,0.9816,0.9939,0.99261,0.82797,0.71639,0.33692,0.92414,0.00134695,0.00134695,0.00134695
60,591.886,0.75897,0.39398,0.90732,0.97767,0.99689,0.99348,0.84285,0.68675,0.33078,0.91151,0.00134553,0.00134553,0.00134553
61,601.318,0.73828,0.38351,0.90043,0.97278,0.9989,0.99362,0.84022,0.68464,0.3279,0.9101,0.00134412,0.00134412,0.00134412
62,610.827,0.75844,0.40513,0.91018,0.98404,1,0.99372,0.83902,0.6864,0.32275,0.91363,0.0013427,0.0013427,0.0013427
63,620.228,0.72883,0.38881,0.90993,0.98471,0.99974,0.99366,0.83729,0.69378,0.3249,0.91497,0.00134129,0.00134129,0.00134129
64,629.392,0.7397,0.38846,0.89839,0.98607,0.99379,0.99411,0.83957,0.69719,0.31775,0.91403,0.00133987,0.00133987,0.00133987
65,639.648,0.7274,0.38976,0.90125,0.98847,0.99379,0.99424,0.84064,0.68007,0.31227,0.91144,0.00133846,0.00133846,0.00133846
66,649.701,0.70836,0.38109,0.9017,0.97961,1,0.99424,0.84619,0.67427,0.30947,0.90953,0.00133704,0.00133704,0.00133704
67,658.262,0.71235,0.37268,0.90151,0.98459,0.99182,0.99433,0.85109,0.65463,0.29974,0.9022,0.00133563,0.00133563,0.00133563
68,667.682,0.73115,0.38687,0.9081,0.98386,0.99068,0.99437,0.84819,0.67389,0.31289,0.90579,0.00133421,0.00133421,0.00133421
69,677.799,0.69884,0.36664,0.89394,0.98166,0.9973,0.9942,0.84553,0.67309,0.31127,0.90649,0.0013328,0.0013328,0.0013328
70,686.937,0.69763,0.3671,0.89445,0.97863,0.99574,0.99427,0.85861,0.65116,0.30571,0.89983,0.00133139,0.00133139,0.00133139
71,696.976,0.70623,0.36815,0.90181,0.99373,0.98464,0.99436,0.85487,0.66348,0.30906,0.90645,0.00132997,0.00132997,0.00132997
72,707.707,0.6814,0.35173,0.89443,0.98754,0.98471,0.99456,0.84515,0.68397,0.31633,0.9131,0.00132856,0.00132856,0.00132856
73,715.958,0.69424,0.36487,0.89451,0.98814,0.98758,0.99462,0.84719,0.67383,0.31127,0.90893,0.00132714,0.00132714,0.00132714
74,724.505,0.68968,0.3587,0.8921,0.98466,1,0.99459,0.84363,0.67731,0.3088,0.90947,0.00132573,0.00132573,0.00132573
75,734.314,0.68122,0.35404,0.88226,0.97744,1,0.9945,0.83606,0.68668,0.3093,0.91392,0.00132431,0.00132431,0.00132431
76,743.719,0.6844,0.35528,0.89201,0.9847,0.99909,0.99478,0.83653,0.69445,0.30754,0.91914,0.0013229,0.0013229,0.0013229
77,754.501,0.68395,0.35726,0.88912,0.98471,0.99977,0.99466,0.82899,0.71093,0.31631,0.9219,0.00132148,0.00132148,0.00132148
78,764.681,0.70744,0.36465,0.89909,0.98667,1,0.99434,0.84813,0.69151,0.31183,0.91327,0.00132007,0.00132007,0.00132007
79,773.437,0.69437,0.36594,0.89604,0.98469,0.99894,0.99465,0.85376,0.67319,0.30961,0.90709,0.00131865,0.00131865,0.00131865
80,783.862,0.68714,0.36029,0.88919,0.98467,0.99734,0.99481,0.85425,0.66246,0.30529,0.90241,0.00131724,0.00131724,0.00131724
81,793.991,0.69845,0.36795,0.89766,0.98578,0.99689,0.99491,0.85466,0.66636,0.30026,0.90612,0.00131582,0.00131582,0.00131582
82,805.511,0.67409,0.35454,0.88678,0.98467,0.99717,0.99481,0.84587,0.69402,0.31006,0.91409,0.00131441,0.00131441,0.00131441
83,814.278,0.66257,0.34484,0.89284,0.98767,0.99536,0.99472,0.8442,0.68972,0.30898,0.91022,0.00131299,0.00131299,0.00131299
84,822.763,0.70736,0.36857,0.90065,0.99376,0.98847,0.99475,0.84744,0.6829,0.30966,0.90215,0.00131158,0.00131158,0.00131158
85,831.954,0.66608,0.35083,0.88769,0.99479,0.98758,0.99466,0.84672,0.68154,0.31084,0.90009,0.00131016,0.00131016,0.00131016
86,842.35,0.67403,0.36108,0.88012,0.99378,0.99309,0.99462,0.85741,0.65882,0.29482,0.89296,0.00130875,0.00130875,0.00130875
87,850.319,0.67802,0.35474,0.89245,0.99252,0.99068,0.99459,0.85062,0.65455,0.29421,0.89372,0.00130733,0.00130733,0.00130733
88,861.12,0.64232,0.34147,0.87753,0.98772,0.99895,0.99484,0.85628,0.64823,0.29491,0.89249,0.00130592,0.00130592,0.00130592
89,870.281,0.67341,0.36012,0.89321,0.99365,0.99689,0.99497,0.86009,0.64608,0.29226,0.8919,0.00130451,0.00130451,0.00130451
90,881.028,0.66852,0.35771,0.89009,1,0.989,0.995,0.85218,0.67069,0.29862,0.90063,0.00130309,0.00130309,0.00130309
91,889.779,0.65827,0.3506,0.87838,0.9954,0.99689,0.99497,0.85719,0.66211,0.29422,0.89889,0.00130168,0.00130168,0.00130168
92,898.424,0.64925,0.35562,0.88722,0.9938,0.99518,0.99494,0.86081,0.65573,0.28522,0.89935,0.00130026,0.00130026,0.00130026
93,907.828,0.67529,0.3797,0.90095,0.99116,0.99379,0.99491,0.86355,0.64963,0.28493,0.8978,0.00129885,0.00129885,0.00129885
94,917.615,0.65662,0.3344,0.88611,0.99073,0.9956,0.99491,0.86527,0.64053,0.28562,0.89708,0.00129743,0.00129743,0.00129743
95,928.247,0.65893,0.35254,0.88567,0.99127,0.99379,0.99497,0.86251,0.64752,0.28625,0.89951,0.00129602,0.00129602,0.00129602
96,939.897,0.63396,0.33679,0.87524,0.9927,0.99379,0.99494,0.85276,0.67864,0.29158,0.91077,0.0012946,0.0012946,0.0012946
97,949.382,0.66939,0.3601,0.8683,0.99536,0.99379,0.995,0.84598,0.68783,0.29408,0.91434,0.00129319,0.00129319,0.00129319
98,959.97,0.66872,0.37196,0.88417,0.99776,0.99379,0.995,0.84969,0.66539,0.2962,0.90617,0.00129177,0.00129177,0.00129177
99,968.727,0.68457,0.36897,0.88233,0.99379,0.99417,0.99497,0.85186,0.64814,0.29187,0.89832,0.00129036,0.00129036,0.00129036
100,978.531,0.68566,0.36519,0.88885,0.99373,0.98399,0.99472,0.84928,0.69124,0.31402,0.90087,0.00128894,0.00128894,0.00128894
101,987.946,0.6832,0.35597,0.88663,0.99368,0.97694,0.99457,0.8446,0.69256,0.31693,0.90102,0.00128753,0.00128753,0.00128753
102,997.771,0.67554,0.36433,0.88521,0.9938,0.99547,0.99487,0.86241,0.63306,0.29447,0.88647,0.00128611,0.00128611,0.00128611
103,1008.23,0.66829,0.36345,0.88278,0.99379,0.99388,0.99491,0.86294,0.63804,0.29324,0.88862,0.0012847,0.0012847,0.0012847
104,1017.58,0.66017,0.34576,0.88019,0.98467,0.99706,0.99491,0.85934,0.63821,0.30063,0.89565,0.00128328,0.00128328,0.00128328
105,1026.86,0.65431,0.35272,0.87704,0.9877,0.99689,0.99494,0.86027,0.63699,0.2963,0.89364,0.00128187,0.00128187,0.00128187
106,1035.67,0.66481,0.34516,0.89218,0.98469,0.9984,0.99478,0.86436,0.63385,0.29834,0.89417,0.00128046,0.00128046,0.00128046
107,1043.41,0.64381,0.35008,0.8766,0.98475,0.99689,0.99462,0.85217,0.65686,0.31208,0.90119,0.00127904,0.00127904,0.00127904
108,1052.31,0.61867,0.33615,0.87475,0.9877,0.99743,0.99475,0.84893,0.66724,0.30329,0.90841,0.00127763,0.00127763,0.00127763
109,1062.53,0.68497,0.3584,0.88613,0.99062,1,0.99488,0.85288,0.65021,0.301,0.90168,0.00127621,0.00127621,0.00127621
110,1072.73,0.63689,0.33831,0.88275,0.98166,0.99714,0.9945,0.84945,0.65752,0.30402,0.90501,0.0012748,0.0012748,0.0012748
111,1082.31,0.63056,0.336,0.88011,0.98157,0.99264,0.99411,0.84095,0.68542,0.31734,0.91279,0.00127338,0.00127338,0.00127338
112,1091.11,0.6503,0.34595,0.87919,0.97861,0.99458,0.99453,0.84447,0.69832,0.32087,0.91527,0.00127197,0.00127197,0.00127197
113,1100.16,0.6423,0.34174,0.88035,0.98399,0.99068,0.99463,0.85388,0.65771,0.30918,0.90677,0.00127055,0.00127055,0.00127055
114,1109.43,0.63158,0.34796,0.87207,0.98543,0.99689,0.99478,0.86365,0.63163,0.29524,0.89906,0.00126914,0.00126914,0.00126914
115,1118.31,0.61202,0.335,0.87794,0.98493,0.99689,0.99484,0.84698,0.67335,0.30426,0.90637,0.00126772,0.00126772,0.00126772
116,1127.54,0.68053,0.35779,0.887,0.99378,0.99219,0.99497,0.85157,0.68234,0.3147,0.90677,0.00126631,0.00126631,0.00126631
117,1136.33,0.62012,0.3384,0.87534,0.99378,0.99234,0.99497,0.86516,0.624,0.2933,0.8945,0.00126489,0.00126489,0.00126489
118,1146.08,0.64499,0.34502,0.87549,0.99077,0.99967,0.99494,0.86977,0.62495,0.29472,0.89738,0.00126348,0.00126348,0.00126348
119,1156.64,0.65897,0.36105,0.87261,0.99242,1,0.99491,0.85617,0.64691,0.29675,0.90444,0.00126206,0.00126206,0.00126206
120,1166.7,0.64986,0.33874,0.87564,0.99296,0.99689,0.99488,0.86094,0.62214,0.28913,0.89817,0.00126065,0.00126065,0.00126065
121,1176.11,0.61149,0.33056,0.87254,0.98783,1,0.99488,0.86928,0.6108,0.2828,0.89512,0.00125923,0.00125923,0.00125923
122,1185.32,0.62471,0.32522,0.87534,0.98668,1,0.99488,0.87154,0.6095,0.28939,0.89308,0.00125782,0.00125782,0.00125782
123,1195,0.62921,0.32911,0.88354,0.98649,1,0.99482,0.86478,0.63672,0.29452,0.9,0.00125641,0.00125641,0.00125641
124,1204.78,0.62849,0.33024,0.87354,0.98468,0.99814,0.99481,0.87068,0.62296,0.29765,0.89621,0.00125499,0.00125499,0.00125499
125,1214.33,0.62342,0.3429,0.87837,0.98467,0.9973,0.99475,0.87145,0.61328,0.29082,0.89263,0.00125358,0.00125358,0.00125358
126,1223.86,0.62146,0.32973,0.87789,0.98712,1,0.99488,0.86734,0.62324,0.28753,0.89745,0.00125216,0.00125216,0.00125216
127,1233.98,0.60431,0.32052,0.86801,0.99348,1,0.99494,0.86261,0.62746,0.28384,0.89778,0.00125075,0.00125075,0.00125075
128,1244.03,0.62253,0.33084,0.87814,0.99358,1,0.99497,0.85685,0.65478,0.29471,0.90326,0.00124933,0.00124933,0.00124933
129,1253.81,0.62979,0.33646,0.87276,0.9969,0.99995,0.99491,0.86289,0.63172,0.28559,0.89743,0.00124792,0.00124792,0.00124792
130,1263.47,0.61269,0.32302,0.87959,0.99626,1,0.99491,0.86222,0.62322,0.28405,0.89415,0.0012465,0.0012465,0.0012465
131,1272.6,0.6114,0.32256,0.88184,0.99689,0.9966,0.99494,0.86272,0.63241,0.28353,0.89603,0.00124509,0.00124509,0.00124509
132,1282.19,0.64568,0.34077,0.88517,0.99889,1,0.995,0.85914,0.65324,0.28896,0.9023,0.00124367,0.00124367,0.00124367
